synonym,filter
minderjahrige fluchtling,unbegleitete minderjährige Flüchtlinge
umf,unbegleitete minderjährige Flüchtlinge
unbegleitete minderjahrige fluchtling,unbegleitete minderjährige Flüchtlinge
minderjahr,unbegleitete minderjährige Flüchtlinge
urdu,urdu
usbek,uzbek
vietnames,vietnamese
gewalt,violence
opf,violence
antigewalt,violence
wolof,wolof
frau,women
jmd,young
jugend,young
kind,young
kinder und jugend,young
junge mensch,young
